id,transaction_date,type,category_id,contact_id,property_id,event_id,egg_sale_id,inventory_movement_id,description,amount,payment_method,reference_number,notes,created_at,etims_invoice_id
188,2024-04-25,expense,9,11,,,,,Transport — feed delivery from supplier,1500,Cash,,,2024-04-25T11:37:00,
189,2024-04-26,expense,6,6,,4,,,Casual security — event eve setup watch,1500,Cash,,,2024-04-26T10:35:00,
190,2024-04-26,expense,19,17,,,,,"General provisions — toilet paper, bin bags, soap",6000,M-Pesa,SVP5GH5W23,,2024-04-26T11:12:00,
191,2024-04-26,expense,7,8,,4,,,Casual cleaning — pre-event deep clean,1500,Cash,,,2024-04-26T12:31:00,
192,2024-04-26,expense,21,,,4,,,"Event supplies — Wellness Retreat (flowers, decor, consumables)",8161,Cash,,,2024-04-26T13:15:00,
193,2024-04-26,savings,27,1,,,,,Savings — Generator Fund set-aside (2024-04),15000,Bank Transfer,BT4898527,Monthly contribution to generator fund,2024-04-26T15:39:00,
194,2024-04-26,income,4,42,5,,20,,Egg sales — 8 trays,2800,M-Pesa,SAHREHH12G,,2024-04-26T17:32:00,33
195,2024-04-26,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-04-26T17:40:00,
196,2024-04-27,expense,6,5,,4,,,Casual security — event day,1500,Cash,,,2024-04-27T10:11:00,
197,2024-04-27,expense,10,12,,4,,,Casual labour — event setup & assistance,1500,Cash,,,2024-04-27T10:37:00,
198,2024-04-27,expense,17,26,,,,,Wellness consultant — programme planning,10000,M-Pesa,SZE33MNIHZ,Ochieng Kiptanui,2024-04-27T12:07:00,
199,2024-04-27,income,2,34,,4,,,Event balance — Wellness Retreat,30000,Bank Transfer,BT3944418,Balance payment on event day,2024-04-27T16:53:00,34
200,2024-04-28,expense,7,8,,4,,,Casual cleaning — post-event cleanup,1500,M-Pesa,SFRKZPV7B1,,2024-04-28T11:40:00,
201,2024-04-28,expense,5,3,4,,,,Salary — Ogola Muriuki (Groundskeeper) — 2024-04,12000,Bank Transfer,BT9401266,Part-time monthly pay,2024-04-28T12:46:00,
202,2024-04-28,expense,5,2,2,,,,Salary — Njoki Gachanja (Manager) — 2024-04,35000,Bank Transfer,BT7286849,Monthly salary,2024-04-28T13:41:00,
203,2024-04-30,income,4,40,5,,21,,Egg sales — 3 trays,1065,M-Pesa,SBOVY5DHOA,,2024-04-30T12:51:00,35
204,2024-04-30,income,2,35,,5,,,Event deposit — Wedding (2024-05-11),50000,Bank Transfer,BT3102797,50% deposit received,2024-04-30T16:11:00,36
205,2024-05-02,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-05-02T16:00:00,
206,2024-05-03,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-05-03T08:24:00,
207,2024-05-03,income,4,41,5,,22,,Egg sales — 6 trays,2070,M-Pesa,S3M7PWUE3J,,2024-05-03T09:01:00,37
208,2024-05-03,expense,15,3,4,,,,Garden weeding and mulching,3000,M-Pesa,SYEP2IBEL9,Groundskeeper + occasional casual help,2024-05-03T12:49:00,
209,2024-05-05,expense,11,14,5,,,,Chicken feed — layers mash (250kg),12204,M-Pesa,SRM9M53YZH,Biweekly feed purchase,2024-05-05T17:02:00,
210,2024-05-06,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,SGNBP42INH,Day hire guard,2024-05-06T10:47:00,
211,2024-05-06,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-05-06T12:33:00,
212,2024-05-06,expense,20,,,,,,Dog food — Simba & Zuri (monthly),3500,M-Pesa,SLCKNHLJCT,,2024-05-06T17:01:00,
213,2024-05-07,income,4,39,5,,24,,Egg sales — 3 trays,1035,M-Pesa,SSJTXFJBES,,2024-05-07T11:20:00,38
214,2024-05-07,income,4,39,5,,23,,Egg sales — 1 trays,345,M-Pesa,S2X622P3M1,,2024-05-07T16:37:00,39
215,2024-05-08,expense,21,,,5,,,"Event supplies — Wedding (flowers, decor, consumables)",8521,Cash,,,2024-05-08T13:16:00,
216,2024-05-09,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,S5QUTU02R1,Weekly clean,2024-05-09T11:22:00,
217,2024-05-10,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,SDPHXX9VR9,Day hire guard,2024-05-10T09:25:00,
218,2024-05-10,expense,9,11,,5,,,Casual transport — event equipment/supply delivery,1500,M-Pesa,S9EJS479Q5,,2024-05-10T09:53:00,
219,2024-05-10,expense,7,7,,5,,,Casual cleaning — pre-event deep clean,1500,Cash,,,2024-05-10T12:43:00,
220,2024-05-10,expense,6,6,,5,,,Casual security — event eve setup watch,1500,Cash,,,2024-05-10T13:17:00,
221,2024-05-10,income,4,40,5,,25,,Egg sales — 2 trays,710,M-Pesa,SLVOFOKHP9,,2024-05-10T13:32:00,41
222,2024-05-10,expense,10,13,,5,,,Casual labour — event setup,1500,Cash,,"Setting up chairs, tables, decor",2024-05-10T13:38:00,
223,2024-05-10,expense,10,12,,5,,,Casual labour — event setup,1500,Cash,,"Setting up chairs, tables, decor",2024-05-10T15:21:00,
224,2024-05-11,expense,10,13,,5,,,Casual labour — event day assistance,1500,Cash,,"Serving, logistics, teardown",2024-05-11T08:03:00,
225,2024-05-11,expense,10,12,,5,,,Casual labour — event day assistance,1500,Cash,,"Serving, logistics, teardown",2024-05-11T08:15:00,
226,2024-05-11,expense,15,3,4,,,,Lawn mowing and trimming,2000,Cash,,Groundskeeper + occasional casual help,2024-05-11T14:14:00,
227,2024-05-11,income,2,35,,5,,,Event balance — Wedding,50000,M-Pesa,SW8UN9H2QS,Balance payment on event day,2024-05-11T14:55:00,42
228,2024-05-11,expense,6,5,,5,,,Casual security — event day,1500,M-Pesa,SPM3D1V6PS,,2024-05-11T17:25:00,
229,2024-05-12,expense,6,6,,,,,Casual security — routine property watch,1500,M-Pesa,S2M2X10NQ3,Day hire guard,2024-05-12T10:56:00,
230,2024-05-12,expense,7,7,,5,,,Casual cleaning — post-event cleanup,1500,M-Pesa,SRQ0P57T1Y,,2024-05-12T11:00:00,
231,2024-05-12,expense,18,28,,5,,,Agent commission — Wedding (2024-05-11),10000,M-Pesa,SD4MZ9JAV1,10% commission on hire fee,2024-05-12T12:13:00,
232,2024-05-12,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SKY4SIBJNA,Weekly clean,2024-05-12T17:02:00,
233,2024-05-14,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-05-14T14:25:00,
234,2024-05-15,expense,8,9,,,,,Plumbing repair — kitchen sink,1500,Cash,,Day hire fundi,2024-05-15T08:29:00,
235,2024-05-15,expense,14,43,,,,,Kenya Power — electricity bill 2024-05,7292,M-Pesa,SI580BJ5QF,,2024-05-15T16:58:00,
236,2024-05-16,expense,13,44,,,,,Nairobi Water — water bill 2024-05,4555,M-Pesa,SOYLDISZY2,,2024-05-16T11:52:00,
237,2024-05-16,expense,9,11,,,,,Transport — egg delivery to buyer,1500,Cash,,,2024-05-16T14:52:00,
238,2024-05-16,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SFMXAF9P9D,Weekly clean,2024-05-16T15:18:00,
239,2024-05-17,income,4,42,5,,26,,Egg sales — 6 trays,2070,M-Pesa,SA8MX8CEKS,,2024-05-17T12:07:00,46
240,2024-05-17,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-05-17T14:07:00,
241,2024-05-18,income,2,36,,6,,,Event deposit — Garden Party (2024-05-25),25000,M-Pesa,S41Y96OKM8,50% deposit received,2024-05-18T08:42:00,47
242,2024-05-18,expense,9,11,,,,,Transport — feed delivery from supplier,1500,M-Pesa,SYMC2HPBXM,,2024-05-18T09:37:00,
243,2024-05-18,income,3,40,1,,,,Wellness service — nature therapy walk,12000,Bank Transfer,BT9973406,,2024-05-18T12:00:00,48
244,2024-05-18,expense,12,23,5,,,,Deworming treatment — poultry,6000,M-Pesa,SIAEB58LB9,Dr. Odhiambo,2024-05-18T12:56:00,
245,2024-05-19,expense,19,17,,,,,"Kitchen provisions — tea, sugar, cooking oil, water",4000,Cash,,,2024-05-19T08:25:00,
246,2024-05-19,expense,11,14,5,,,,Chicken feed — layers mash (250kg),16198,M-Pesa,SOUOOQA9YH,Biweekly feed purchase,2024-05-19T08:29:00,
247,2024-05-20,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-05-20T10:33:00,
248,2024-05-20,expense,22,15,,,,97,Inventory restock — Serving Dishes (Medium),3500,M-Pesa,SO80F3S0RO,Replacing broken/worn stock,2024-05-20T12:33:00,
249,2024-05-20,expense,22,15,,,,96,Inventory restock — Wine Glasses,2000,M-Pesa,SGWQFDK19J,Replacing broken/worn stock,2024-05-20T13:20:00,
250,2024-05-20,expense,22,17,,,,94,Inventory restock — Brooms,1250,M-Pesa,SQZK1KZB9M,Replacing broken/worn stock,2024-05-20T13:37:00,
251,2024-05-20,expense,22,18,,,,95,Inventory restock — Flower Vases (Glass),2100,Cash,,Replacing broken/worn stock,2024-05-20T15:08:00,
252,2024-05-20,expense,9,11,,,,,Transport — feed delivery from supplier,1500,Cash,,,2024-05-20T16:45:00,
253,2024-05-20,expense,22,17,,,,98,Inventory restock — Brooms,1500,Cash,,Replacing broken/worn stock,2024-05-20T16:47:00,
254,2024-05-21,income,4,40,5,,27,,Egg sales — 2 trays,710,M-Pesa,SPBH8T9Y4F,,2024-05-21T09:29:00,49
255,2024-05-21,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SL1L3DQ9X5,Weekly clean,2024-05-21T13:09:00,
256,2024-05-22,expense,17,24,,,,,Accountant — quarterly books review,12000,M-Pesa,S83RZ9T2L7,Veronica Njagi,2024-05-22T11:17:00,
257,2024-05-22,expense,21,,,6,,,"Event supplies — Garden Party (flowers, decor, consumables)",5291,M-Pesa,SF3SE65LTJ,,2024-05-22T16:22:00,
258,2024-05-23,expense,26,,,,,,M-Pesa transaction charges,2000,M-Pesa,S4NBXA0F9K,,2024-05-23T15:39:00,
259,2024-05-23,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,S8C37N2DR0,Day hire guard,2024-05-23T16:16:00,
260,2024-05-24,income,4,41,5,,28,,Egg sales — 8 trays,2720,M-Pesa,SBGZGRHOCK,,2024-05-24T12:17:00,50
261,2024-05-24,expense,10,12,,6,,,Casual labour — event setup,1500,M-Pesa,S8TQD6HEU6,"Setting up chairs, tables, decor",2024-05-24T12:59:00,
262,2024-05-24,expense,9,11,,6,,,Casual transport — event equipment/supply delivery,1500,M-Pesa,S8XJZSMQF8,,2024-05-24T13:06:00,
263,2024-05-24,expense,7,7,,6,,,Casual cleaning — pre-event deep clean,1500,M-Pesa,SSICAPVQZX,,2024-05-24T15:15:00,
264,2024-05-24,expense,6,4,,6,,,Casual security — event eve setup watch,1500,Cash,,,2024-05-24T15:32:00,
265,2024-05-25,expense,10,12,,6,,,Casual labour — event day assistance,1500,Cash,,"Serving, logistics, teardown",2024-05-25T08:02:00,
266,2024-05-25,expense,6,5,,6,,,Casual security — event day,1500,M-Pesa,SOUC3LJQKP,,2024-05-25T08:34:00,
267,2024-05-25,income,2,36,,6,,,Event balance — Garden Party,25000,M-Pesa,SVUGVACPOL,Balance payment on event day,2024-05-25T09:00:00,51
268,2024-05-26,expense,7,8,,6,,,Casual cleaning — post-event cleanup,1500,M-Pesa,SJCB3I6W5B,,2024-05-26T17:35:00,
269,2024-05-27,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-05-27T16:42:00,
270,2024-05-28,income,4,39,5,,29,,Egg sales — 1 trays,355,M-Pesa,SID4FNA9MA,,2024-05-28T09:42:00,52
271,2024-05-28,expense,5,2,2,,,,Salary — Njoki Gachanja (Manager) — 2024-05,35000,Bank Transfer,BT7283819,Monthly salary,2024-05-28T12:04:00,
272,2024-05-28,savings,27,1,,,,,Savings — Generator Fund set-aside (2024-05),10000,Bank Transfer,BT9944208,Monthly contribution to generator fund,2024-05-28T14:35:00,
273,2024-05-28,expense,5,3,4,,,,Salary — Ogola Muriuki (Groundskeeper) — 2024-05,12000,Bank Transfer,BT1805564,Part-time monthly pay,2024-05-28T14:49:00,
274,2024-05-28,income,2,37,,7,,,Event deposit — Bridal Shower (2024-06-08),17500,Bank Transfer,BT4059255,50% deposit received,2024-05-28T15:08:00,53
275,2024-05-29,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-05-29T12:26:00,
276,2024-05-29,expense,19,17,,,,,"General provisions — toilet paper, bin bags, soap",2500,Cash,,,2024-05-29T15:03:00,
277,2024-05-31,income,4,42,5,,30,,Egg sales — 6 trays,2070,Cash,,,2024-05-31T16:08:00,54
278,2024-06-01,income,3,34,1,,,,Wellness service — meditation class,5000,M-Pesa,SQ06YWEBKV,,2024-06-01T17:03:00,55
279,2024-06-02,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-06-02T13:18:00,
280,2024-06-03,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-06-03T13:13:00,
281,2024-06-04,income,4,40,5,,31,,Egg sales — 1 trays,345,M-Pesa,SIM4946AEJ,,2024-06-04T11:28:00,56
282,2024-06-05,expense,21,,,7,,,"Event supplies — Bridal Shower (flowers, decor, consumables)",3374,M-Pesa,SHNSH97K5L,,2024-06-05T09:13:00,
283,2024-06-05,expense,6,6,,,,,Casual security — routine property watch,1500,M-Pesa,S1QSKFMACM,Day hire guard,2024-06-05T13:33:00,
284,2024-06-05,expense,11,14,5,,,,Chicken feed — layers mash (250kg),12097,M-Pesa,SVB1Q1W653,Biweekly feed purchase,2024-06-05T17:50:00,
285,2024-06-07,expense,6,4,,7,,,Casual security — event eve setup watch,1500,Cash,,,2024-06-07T09:22:00,
286,2024-06-07,income,4,41,5,,32,,Egg sales — 8 trays,2720,M-Pesa,SOW7CSDRHQ,,2024-06-07T10:11:00,57
287,2024-06-07,expense,7,8,,7,,,Casual cleaning — pre-event deep clean,1500,Cash,,,2024-06-07T12:19:00,
288,2024-06-08,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SGA5MUP0K8,Weekly clean,2024-06-08T08:49:00,
289,2024-06-08,expense,8,9,,,,,Gutter cleaning,5000,M-Pesa,SXTWQVFPYB,Day hire fundi,2024-06-08T09:10:00,
290,2024-06-08,expense,20,,,,,,Dog food — Simba & Zuri (monthly),3000,M-Pesa,S4GM4JEI31,,2024-06-08T09:40:00,
291,2024-06-08,expense,10,13,,7,,,Casual labour — event setup & assistance,1500,Cash,,,2024-06-08T11:26:00,
292,2024-06-08,income,2,38,,8,,,Event deposit — Birthday Party (2024-06-22),27500,Bank Transfer,BT5683931,50% deposit received,2024-06-08T13:31:00,58
293,2024-06-08,income,2,37,,7,,,Event balance — Bridal Shower,17500,M-Pesa,SPCDF5KFGV,Balance payment on event day,2024-06-08T13:46:00,59
294,2024-06-08,expense,6,5,,7,,,Casual security — event day,1500,Cash,,,2024-06-08T16:04:00,
295,2024-06-09,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,SOF3D6FR9A,Day hire guard,2024-06-09T11:31:00,
296,2024-06-09,expense,7,7,,7,,,Casual cleaning — post-event cleanup,1500,M-Pesa,S84WMUZOLN,,2024-06-09T13:48:00,
297,2024-06-10,expense,18,27,,7,,,Agent commission — Bridal Shower (2024-06-08),3500,M-Pesa,SDZ097DYFE,10% commission on hire fee,2024-06-10T14:21:00,
298,2024-06-11,expense,15,3,4,,,,Garden weeding and mulching,3500,M-Pesa,SDF4XV6KOR,Groundskeeper + occasional casual help,2024-06-11T11:13:00,
299,2024-06-11,income,4,41,5,,34,,Egg sales — 4 trays,1380,Cash,,,2024-06-11T11:25:00,62
300,2024-06-11,income,4,39,5,,33,,Egg sales — 2 trays,670,M-Pesa,SYI3445FCZ,,2024-06-11T16:27:00,63
301,2024-06-12,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-06-12T12:47:00,
302,2024-06-12,expense,9,11,,,,,Transport — feed delivery from supplier,1500,Cash,,,2024-06-12T14:27:00,
303,2024-06-12,expense,20,23,,,,,Dog grooming and vet checkup — Simba & Zuri,3000,M-Pesa,SR4WHGW723,Quarterly checkup,2024-06-12T15:09:00,
304,2024-06-12,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-06-12T16:19:00,
305,2024-06-14,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,S0MP63D5C2,Day hire guard,2024-06-14T14:40:00,
306,2024-06-14,income,4,42,5,,35,,Egg sales — 8 trays,2760,M-Pesa,SNJ2RYETGG,,2024-06-14T17:05:00,64
307,2024-06-15,expense,14,43,,,,,Kenya Power — electricity bill 2024-06,4652,M-Pesa,SVP1L89UZL,,2024-06-15T14:56:00,
308,2024-06-16,expense,13,44,,,,,Nairobi Water — water bill 2024-06,3213,M-Pesa,S4DVKULVG3,,2024-06-16T10:30:00,
309,2024-06-16,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-06-16T12:00:00,
310,2024-06-17,expense,19,17,,,,,"Kitchen provisions — tea, sugar, cooking oil, water",2500,Cash,,,2024-06-17T09:21:00,
311,2024-06-17,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,S0U740N635,Weekly clean,2024-06-17T17:17:00,
312,2024-06-18,expense,22,15,,,,103,Inventory restock — Wine Glasses,2000,M-Pesa,SS84XSCMY3,Replacing broken/worn stock,2024-06-18T11:14:00,
313,2024-06-18,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-06-18T14:14:00,
314,2024-06-18,expense,15,3,4,,,,Garden weeding and mulching,3500,M-Pesa,SD2WR1APR4,Groundskeeper + occasional casual help,2024-06-18T14:21:00,
315,2024-06-18,income,4,40,5,,36,,Egg sales — 3 trays,990,Cash,,,2024-06-18T15:39:00,65
316,2024-06-18,expense,22,15,,,,105,Inventory restock — Drinking Glasses,360,Cash,,Replacing broken/worn stock,2024-06-18T16:01:00,
317,2024-06-18,expense,9,11,,,,,Transport — feed delivery from supplier,1500,Cash,,,2024-06-18T16:12:00,
318,2024-06-18,expense,22,22,,,,104,Inventory restock — Kitchen Towels,2000,M-Pesa,SGXBJOKMKA,Replacing broken/worn stock,2024-06-18T17:00:00,
319,2024-06-19,expense,11,14,5,,,,Chicken feed — layers mash (250kg),15248,M-Pesa,SJ512KWCEW,Biweekly feed purchase,2024-06-19T13:12:00,
320,2024-06-19,expense,26,,,,,,Batteries and small items,800,M-Pesa,SSOX8SWPR1,,2024-06-19T17:43:00,
321,2024-06-20,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,SET1NGU4I7,Day hire guard,2024-06-20T15:47:00,
322,2024-06-20,expense,19,19,,,,,"General provisions — toilet paper, bin bags, soap",2500,M-Pesa,SXJ3LCNTNV,,2024-06-20T17:15:00,
323,2024-06-21,expense,7,8,,8,,,Casual cleaning — pre-event deep clean,1500,Cash,,,2024-06-21T08:49:00,
324,2024-06-21,expense,21,,,8,,,"Event supplies — Birthday Party (flowers, decor, consumables)",5835,Cash,,,2024-06-21T08:51:00,
325,2024-06-21,expense,10,13,,8,,,Casual labour — event setup,1500,M-Pesa,SQZAEIAJJH,"Setting up chairs, tables, decor",2024-06-21T10:04:00,
326,2024-06-21,expense,9,11,,8,,,Casual transport — event equipment/supply delivery,1500,Cash,,,2024-06-21T11:41:00,
327,2024-06-21,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-06-21T15:22:00,
328,2024-06-21,expense,6,6,,8,,,Casual security — event eve setup watch,1500,M-Pesa,SMYLD8T4WL,,2024-06-21T15:54:00,
329,2024-06-22,expense,10,13,,8,,,Casual labour — event day assistance,1500,M-Pesa,S4OFWX0SXY,"Serving, logistics, teardown",2024-06-22T09:27:00,
330,2024-06-22,income,2,38,,8,,,Event balance — Birthday Party,27500,M-Pesa,SSK3JIHADL,Balance payment on event day,2024-06-22T09:43:00,68
331,2024-06-22,expense,6,6,,8,,,Casual security — event day,1500,M-Pesa,SMH1FROV15,,2024-06-22T17:54:00,
332,2024-06-23,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,SJMISRFB1K,Day hire guard,2024-06-23T11:27:00,
333,2024-06-23,expense,7,8,,8,,,Casual cleaning — post-event cleanup,1500,M-Pesa,SVDPCIWUCZ,,2024-06-23T11:52:00,
334,2024-06-24,income,2,39,,9,,,Event deposit — Garden Party (2024-07-06),22500,Bank Transfer,BT3035438,50% deposit received,2024-06-24T09:59:00,69
335,2024-06-25,income,4,42,5,,37,,Egg sales — 4 trays,1400,Cash,,,2024-06-25T14:50:00,71
336,2024-06-25,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-06-25T15:05:00,
337,2024-06-27,savings,28,1,,,,,Savings — Large Events Tent Fund set-aside (2024-06),12000,Bank Transfer,BT2140394,Monthly contribution to tent fund,2024-06-27T11:33:00,
338,2024-06-27,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,SX7S7FYKBJ,Day hire guard,2024-06-27T14:03:00,
339,2024-06-28,expense,5,3,4,,,,Salary — Ogola Muriuki (Groundskeeper) — 2024-06,12000,Bank Transfer,BT6888658,Part-time monthly pay,2024-06-28T10:58:00,
340,2024-06-28,income,4,40,5,,38,,Egg sales — 3 trays,1005,M-Pesa,SUMDUO9BF0,,2024-06-28T17:07:00,72
341,2024-06-28,expense,5,2,2,,,,Salary — Njoki Gachanja (Manager) — 2024-06,35000,Bank Transfer,BT6188630,Monthly salary,2024-06-28T17:59:00,
342,2024-06-29,income,3,34,1,,,,Wellness service — sound healing,10000,Bank Transfer,BT1895309,,2024-06-29T15:35:00,73
343,2024-07-02,income,4,42,5,,39,,Egg sales — 7 trays,2380,Cash,,,2024-07-02T14:20:00,74
344,2024-07-02,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,SMVOLA3UT1,Day hire guard,2024-07-02T17:20:00,
345,2024-07-03,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,STOXJKLHJG,Weekly clean,2024-07-03T09:43:00,
346,2024-07-04,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,STZ1IPMPAV,Day hire guard,2024-07-04T11:00:00,
347,2024-07-05,expense,21,,,9,,,"Event supplies — Garden Party (flowers, decor, consumables)",2304,M-Pesa,SMT80BYLFJ,,2024-07-05T08:36:00,
348,2024-07-05,expense,6,6,,9,,,Casual security — event eve setup watch,1500,Cash,,,2024-07-05T11:32:00,
349,2024-07-05,expense,7,8,,9,,,Casual cleaning — pre-event deep clean,1500,Cash,,,2024-07-05T12:58:00,
350,2024-07-05,expense,11,14,5,,,,Chicken feed — layers mash (250kg),14824,M-Pesa,S9RUYXXWP1,Biweekly feed purchase,2024-07-05T13:15:00,
351,2024-07-05,income,4,39,5,,40,,Egg sales — 1 trays,335,Cash,,,2024-07-05T13:19:00,75
352,2024-07-05,expense,10,12,,9,,,Casual labour — event setup,1500,Cash,,"Setting up chairs, tables, decor",2024-07-05T14:37:00,
353,2024-07-06,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,SDRFWLPFOV,Day hire guard,2024-07-06T11:03:00,
354,2024-07-06,expense,6,4,,9,,,Casual security — event day,1500,Cash,,,2024-07-06T12:10:00,
355,2024-07-06,expense,10,12,,9,,,Casual labour — event day assistance,1500,M-Pesa,SNJYFX5KC4,"Serving, logistics, teardown",2024-07-06T15:26:00,
356,2024-07-06,income,2,39,,9,,,Event balance — Garden Party,22500,Bank Transfer,BT4664282,Balance payment on event day,2024-07-06T17:58:00,76
357,2024-07-07,expense,18,29,,9,,,Agent commission — Garden Party (2024-07-06),4500,M-Pesa,SRQV5Q1NIB,10% commission on hire fee,2024-07-07T09:08:00,
358,2024-07-07,expense,20,,,,,,Dog food — Simba & Zuri (monthly),3000,M-Pesa,SGTKI069Y1,,2024-07-07T13:02:00,
359,2024-07-07,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-07-07T13:18:00,
360,2024-07-07,expense,7,7,,9,,,Casual cleaning — post-event cleanup,1500,M-Pesa,S29V4XU5H3,,2024-07-07T16:57:00,
361,2024-07-09,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-07-09T08:18:00,
362,2024-07-09,income,2,40,,10,,,Event deposit — Memorial Service (2024-07-20),30000,M-Pesa,SZ02OTCYDZ,50% deposit received,2024-07-09T09:48:00,78
363,2024-07-09,income,4,40,5,,41,,Egg sales — 1 trays,350,M-Pesa,SAO9PXS6BB,,2024-07-09T15:35:00,79
364,2024-07-10,expense,26,,,,,,Padlocks and keys,2500,M-Pesa,SLGGFQJUCH,,2024-07-10T17:51:00,
365,2024-07-11,expense,19,15,,,,,"Kitchen provisions — tea, sugar, cooking oil, water",2500,Cash,,,2024-07-11T09:23:00,
366,2024-07-11,expense,6,6,,,,,Casual security — routine property watch,1500,M-Pesa,SSGP046OK1,Day hire guard,2024-07-11T14:02:00,
367,2024-07-12,income,4,40,5,,42,,Egg sales — 2 trays,660,Cash,,,2024-07-12T09:47:00,80
368,2024-07-12,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-07-12T13:09:00,
369,2024-07-13,income,3,40,1,,,,Wellness service — wellness consultation,5000,M-Pesa,S43M8N8U41,,2024-07-13T09:35:00,82
370,2024-07-13,expense,12,23,5,,,,Deworming treatment — poultry,8000,M-Pesa,SL3AIROGPI,Dr. Odhiambo,2024-07-13T11:48:00,
371,2024-07-15,expense,22,15,,,,113,Inventory restock — Dinner Plates,1000,Cash,,Replacing broken/worn stock,2024-07-15T08:02:00,
372,2024-07-15,expense,22,18,,,,112,Inventory restock — Flower Vases (Glass),1050,M-Pesa,S3ST293QUS,Replacing broken/worn stock,2024-07-15T10:06:00,
373,2024-07-15,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-07-15T11:48:00,
374,2024-07-15,expense,22,15,,,,114,Inventory restock — Serving Dishes (Medium),3500,Cash,,Replacing broken/worn stock,2024-07-15T13:35:00,
375,2024-07-15,expense,14,43,,,,,Kenya Power — electricity bill 2024-07,5321,M-Pesa,SRTD6PJIXZ,,2024-07-15T15:56:00,
376,2024-07-16,expense,13,44,,,,,Nairobi Water — water bill 2024-07,3363,M-Pesa,SZHPNAPA9P,,2024-07-16T13:46:00,
377,2024-07-16,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-07-16T14:43:00,
378,2024-07-16,income,4,42,5,,43,,Egg sales — 6 trays,2010,Cash,,,2024-07-16T16:38:00,83
379,2024-07-17,expense,21,,,10,,,"Event supplies — Memorial Service (flowers, decor, consumables)",3665,Cash,,,2024-07-17T11:31:00,
380,2024-07-19,income,4,40,5,,44,,Egg sales — 2 trays,680,Cash,,,2024-07-19T08:38:00,85
381,2024-07-19,expense,10,13,,10,,,Casual labour — event setup,1500,Cash,,"Setting up chairs, tables, decor",2024-07-19T10:24:00,
382,2024-07-19,expense,6,5,,10,,,Casual security — event eve setup watch,1500,M-Pesa,S0IL80CE87,,2024-07-19T10:49:00,
383,2024-07-19,expense,10,12,,10,,,Casual labour — event setup,1500,M-Pesa,STYWRORDP1,"Setting up chairs, tables, decor",2024-07-19T11:52:00,
384,2024-07-19,expense,9,11,,10,,,Casual transport — event equipment/supply delivery,1500,Cash,,,2024-07-19T15:17:00,
